Source,Target,Weight,Type
tweet0,tweet1,1.0,Undirected
tweet0,tweet2,1.0,Undirected
tweet0,tweet3,1.0,Undirected
tweet0,tweet5,0.5,Undirected
tweet0,tweet6,1.0,Undirected
tweet0,tweet8,0.5,Undirected
tweet0,tweet10,0.5,Undirected
tweet0,tweet11,0.5,Undirected
tweet0,tweet12,1.0,Undirected
tweet0,tweet13,1.0,Undirected
tweet0,tweet14,1.0,Undirected
tweet0,tweet15,1.0,Undirected
tweet0,tweet16,1.0,Undirected
tweet0,tweet17,1.0,Undirected
tweet0,tweet18,1.0,Undirected
tweet0,tweet20,1.0,Undirected
tweet0,tweet23,1.0,Undirected
tweet0,tweet24,1.0,Undirected
tweet0,tweet26,1.0,Undirected
tweet0,tweet27,1.0,Undirected
tweet0,tweet28,1.0,Undirected
tweet0,tweet32,1.0,Undirected
tweet0,tweet34,1.0,Undirected
tweet0,tweet35,1.0,Undirected
tweet0,tweet36,1.0,Undirected
tweet0,tweet39,1.0,Undirected
tweet0,tweet42,1.0,Undirected
tweet0,tweet44,1.0,Undirected
tweet0,tweet47,1.0,Undirected
tweet0,tweet48,1.0,Undirected
tweet0,tweet50,1.0,Undirected
tweet0,tweet52,1.0,Undirected
tweet0,tweet53,1.0,Undirected
tweet0,tweet54,1.0,Undirected
tweet0,tweet55,1.0,Undirected
tweet0,tweet56,1.0,Undirected
tweet0,tweet57,1.0,Undirected
tweet0,tweet58,1.0,Undirected
tweet0,tweet59,1.0,Undirected
tweet0,tweet60,1.0,Undirected
tweet0,tweet62,1.0,Undirected
tweet0,tweet63,0.5,Undirected
tweet0,tweet66,1.0,Undirected
tweet0,tweet67,1.0,Undirected
tweet0,tweet69,1.0,Undirected
tweet0,tweet70,0.5,Undirected
tweet0,tweet71,0.5,Undirected
tweet0,tweet72,1.0,Undirected
tweet0,tweet73,1.0,Undirected
tweet0,tweet74,1.0,Undirected
tweet0,tweet75,1.0,Undirected
tweet0,tweet76,1.0,Undirected
tweet0,tweet77,1.0,Undirected
tweet0,tweet78,1.0,Undirected
tweet0,tweet79,1.0,Undirected
tweet0,tweet81,1.0,Undirected
tweet0,tweet82,1.0,Undirected
tweet0,tweet83,1.0,Undirected
tweet0,tweet84,1.0,Undirected
tweet0,tweet86,1.0,Undirected
tweet0,tweet87,1.0,Undirected
tweet0,tweet88,1.0,Undirected
tweet0,tweet89,1.0,Undirected
tweet0,tweet90,1.0,Undirected
tweet0,tweet92,1.0,Undirected
tweet0,tweet93,1.0,Undirected
tweet0,tweet94,1.0,Undirected
tweet0,tweet95,1.0,Undirected
tweet0,tweet96,1.0,Undirected
tweet0,tweet97,1.0,Undirected
tweet0,tweet98,1.0,Undirected
tweet0,tweet99,0.5,Undirected
tweet0,tweet102,0.5,Undirected
tweet0,tweet103,1.0,Undirected
tweet0,tweet105,1.0,Undirected
tweet0,tweet106,1.0,Undirected
tweet0,tweet107,1.0,Undirected
