Source,Target,Weight,Type
tweet0,tweet2,1.0,Undirected
tweet0,tweet14,1.0,Undirected
tweet0,tweet15,1.0,Undirected
tweet0,tweet17,1.0,Undirected
tweet0,tweet20,1.0,Undirected
tweet0,tweet23,1.0,Undirected
tweet0,tweet24,1.0,Undirected
tweet0,tweet32,1.0,Undirected
tweet0,tweet34,1.0,Undirected
tweet0,tweet35,1.0,Undirected
tweet0,tweet36,1.0,Undirected
tweet0,tweet42,1.0,Undirected
tweet0,tweet56,1.0,Undirected
tweet0,tweet74,1.0,Undirected
tweet0,tweet77,1.0,Undirected
tweet0,tweet78,1.0,Undirected
tweet0,tweet83,1.0,Undirected
tweet0,tweet84,1.0,Undirected
tweet0,tweet88,1.0,Undirected
tweet0,tweet89,1.0,Undirected
tweet0,tweet90,1.0,Undirected
tweet0,tweet94,1.0,Undirected
tweet0,tweet97,1.0,Undirected
tweet0,tweet98,1.0,Undirected
tweet0,tweet106,1.0,Undirected
tweet0,tweet109,1.0,Undirected
tweet0,tweet200,1.0,Undirected
tweet0,tweet211,1.0,Undirected
tweet0,tweet221,1.0,Undirected
tweet0,tweet223,1.0,Undirected
tweet0,tweet224,1.0,Undirected
tweet0,tweet225,1.0,Undirected
tweet0,tweet231,1.0,Undirected
tweet1,tweet44,0.5,Undirected
tweet1,tweet50,1.0,Undirected
tweet1,tweet64,0.5,Undirected
tweet1,tweet75,0.3333333333333333,Undirected
tweet1,tweet85,0.3333333333333333,Undirected
tweet1,tweet101,0.5,Undirected
tweet1,tweet110,0.5,Undirected
tweet1,tweet117,1.0,Undirected
tweet1,tweet121,0.3333333333333333,Undirected
tweet1,tweet183,0.5,Undirected
tweet1,tweet199,0.5,Undirected
tweet2,tweet14,1.0,Undirected
tweet2,tweet15,1.0,Undirected
tweet2,tweet17,1.0,Undirected
tweet2,tweet20,1.0,Undirected
tweet2,tweet23,1.0,Undirected
tweet2,tweet24,1.0,Undirected
tweet2,tweet32,1.0,Undirected
tweet2,tweet34,1.0,Undirected
tweet2,tweet35,1.0,Undirected
tweet2,tweet36,1.0,Undirected
tweet2,tweet42,1.0,Undirected
tweet2,tweet56,1.0,Undirected
tweet2,tweet74,1.0,Undirected
tweet2,tweet77,1.0,Undirected
tweet2,tweet78,1.0,Undirected
tweet2,tweet83,1.0,Undirected
tweet2,tweet84,1.0,Undirected
tweet2,tweet88,1.0,Undirected
tweet2,tweet89,1.0,Undirected
tweet2,tweet90,1.0,Undirected
tweet2,tweet94,1.0,Undirected
tweet2,tweet97,1.0,Undirected
tweet2,tweet98,1.0,Undirected
tweet2,tweet106,1.0,Undirected
tweet2,tweet109,1.0,Undirected
tweet2,tweet200,1.0,Undirected
tweet2,tweet211,1.0,Undirected
tweet2,tweet221,1.0,Undirected
tweet2,tweet223,1.0,Undirected
tweet2,tweet224,1.0,Undirected
tweet2,tweet225,1.0,Undirected
tweet2,tweet231,1.0,Undirected
tweet3,tweet6,1.0,Undirected
tweet3,tweet7,1.0,Undirected
tweet3,tweet18,1.0,Undirected
tweet3,tweet19,1.0,Undirected
tweet3,tweet29,1.0,Undirected
tweet3,tweet30,1.0,Undirected
tweet3,tweet33,1.0,Undirected
tweet3,tweet39,1.0,Undirected
tweet3,tweet62,1.0,Undirected
tweet3,tweet66,1.0,Undirected
tweet3,tweet70,1.0,Undirected
tweet3,tweet73,1.0,Undirected
tweet3,tweet95,1.0,Undirected
tweet3,tweet99,1.0,Undirected
tweet3,tweet102,1.0,Undirected
tweet3,tweet103,1.0,Undirected
tweet3,tweet107,1.0,Undirected
tweet3,tweet112,1.0,Undirected
tweet3,tweet115,1.0,Undirected
tweet3,tweet118,1.0,Undirected
tweet3,tweet119,1.0,Undirected
tweet3,tweet124,1.0,Undirected
tweet3,tweet179,1.0,Undirected
tweet3,tweet182,1.0,Undirected
tweet3,tweet206,1.0,Undirected
tweet3,tweet207,1.0,Undirected
tweet3,tweet208,1.0,Undirected
tweet3,tweet209,1.0,Undirected
tweet3,tweet222,1.0,Undirected
tweet3,tweet227,1.0,Undirected
tweet3,tweet228,1.0,Undirected
tweet3,tweet253,1.0,Undirected
tweet3,tweet257,1.0,Undirected
tweet3,tweet268,1.0,Undirected
tweet3,tweet287,1.0,Undirected
tweet3,tweet294,1.0,Undirected
tweet3,tweet301,1.0,Undirected
tweet3,tweet312,1.0,Undirected
tweet3,tweet324,1.0,Undirected
tweet3,tweet330,1.0,Undirected
tweet3,tweet332,1.0,Undirected
tweet3,tweet339,1.0,Undirected
tweet3,tweet344,1.0,Undirected
tweet3,tweet351,1.0,Undirected
tweet3,tweet355,1.0,Undirected
tweet3,tweet364,1.0,Undirected
tweet3,tweet388,1.0,Undirected
tweet3,tweet401,1.0,Undirected
tweet3,tweet405,1.0,Undirected
tweet3,tweet414,1.0,Undirected
tweet3,tweet416,1.0,Undirected
tweet3,tweet420,1.0,Undirected
tweet3,tweet431,1.0,Undirected
tweet3,tweet434,1.0,Undirected
tweet3,tweet436,1.0,Undirected
tweet3,tweet441,1.0,Undirected
tweet3,tweet452,1.0,Undirected
tweet3,tweet466,1.0,Undirected
tweet3,tweet467,1.0,Undirected
tweet3,tweet469,1.0,Undirected
tweet3,tweet470,1.0,Undirected
tweet3,tweet474,1.0,Undirected
tweet3,tweet485,1.0,Undirected
tweet3,tweet491,1.0,Undirected
tweet3,tweet494,1.0,Undirected
tweet3,tweet497,1.0,Undirected
tweet3,tweet500,1.0,Undirected
