Source,Target,Weight,Type
tweet0,tweet2,1.0,Undirected
tweet0,tweet14,1.0,Undirected
tweet0,tweet15,1.0,Undirected
tweet0,tweet17,1.0,Undirected
tweet0,tweet20,1.0,Undirected
tweet0,tweet23,1.0,Undirected
tweet0,tweet24,1.0,Undirected
tweet0,tweet32,1.0,Undirected
tweet0,tweet34,1.0,Undirected
tweet0,tweet35,1.0,Undirected
tweet0,tweet36,1.0,Undirected
tweet0,tweet42,1.0,Undirected
tweet0,tweet56,1.0,Undirected
tweet0,tweet74,1.0,Undirected
tweet0,tweet77,1.0,Undirected
tweet0,tweet78,1.0,Undirected
tweet0,tweet83,1.0,Undirected
tweet0,tweet84,1.0,Undirected
tweet0,tweet88,1.0,Undirected
tweet0,tweet89,1.0,Undirected
tweet0,tweet90,1.0,Undirected
tweet0,tweet94,1.0,Undirected
tweet0,tweet97,1.0,Undirected
tweet0,tweet98,1.0,Undirected
tweet0,tweet106,1.0,Undirected
tweet0,tweet109,1.0,Undirected
tweet0,tweet115,1.0,Undirected
tweet0,tweet118,1.0,Undirected
tweet0,tweet211,1.0,Undirected
tweet0,tweet221,1.0,Undirected
tweet0,tweet223,1.0,Undirected
tweet0,tweet224,1.0,Undirected
tweet0,tweet225,1.0,Undirected
tweet0,tweet231,1.0,Undirected
tweet1,tweet50,1.0,Undirected
tweet1,tweet117,1.0,Undirected
tweet2,tweet14,1.0,Undirected
tweet2,tweet15,1.0,Undirected
tweet2,tweet17,1.0,Undirected
tweet2,tweet20,1.0,Undirected
tweet2,tweet23,1.0,Undirected
tweet2,tweet24,1.0,Undirected
tweet2,tweet32,1.0,Undirected
tweet2,tweet34,1.0,Undirected
tweet2,tweet35,1.0,Undirected
tweet2,tweet36,1.0,Undirected
tweet2,tweet42,1.0,Undirected
tweet2,tweet56,1.0,Undirected
tweet2,tweet74,1.0,Undirected
tweet2,tweet77,1.0,Undirected
tweet2,tweet78,1.0,Undirected
tweet2,tweet83,1.0,Undirected
tweet2,tweet84,1.0,Undirected
tweet2,tweet88,1.0,Undirected
tweet2,tweet89,1.0,Undirected
tweet2,tweet90,1.0,Undirected
tweet2,tweet94,1.0,Undirected
tweet2,tweet97,1.0,Undirected
tweet2,tweet98,1.0,Undirected
tweet2,tweet106,1.0,Undirected
tweet2,tweet109,1.0,Undirected
tweet2,tweet115,1.0,Undirected
tweet2,tweet118,1.0,Undirected
tweet2,tweet211,1.0,Undirected
tweet2,tweet221,1.0,Undirected
tweet2,tweet223,1.0,Undirected
tweet2,tweet224,1.0,Undirected
tweet2,tweet225,1.0,Undirected
tweet2,tweet231,1.0,Undirected
tweet3,tweet4,1.0,Undirected
tweet3,tweet6,1.0,Undirected
tweet3,tweet9,1.0,Undirected
tweet3,tweet16,1.0,Undirected
tweet3,tweet18,1.0,Undirected
tweet3,tweet19,1.0,Undirected
tweet3,tweet21,1.0,Undirected
tweet3,tweet27,1.0,Undirected
tweet3,tweet29,1.0,Undirected
tweet3,tweet31,1.0,Undirected
tweet3,tweet37,1.0,Undirected
tweet3,tweet38,1.0,Undirected
tweet3,tweet41,1.0,Undirected
tweet3,tweet43,1.0,Undirected
tweet3,tweet44,1.0,Undirected
tweet3,tweet45,1.0,Undirected
tweet3,tweet48,1.0,Undirected
tweet3,tweet63,1.0,Undirected
tweet3,tweet64,1.0,Undirected
tweet3,tweet65,1.0,Undirected
tweet3,tweet66,1.0,Undirected
tweet3,tweet68,1.0,Undirected
tweet3,tweet72,1.0,Undirected
tweet3,tweet75,1.0,Undirected
tweet3,tweet80,1.0,Undirected
tweet3,tweet85,1.0,Undirected
tweet3,tweet95,1.0,Undirected
tweet3,tweet101,1.0,Undirected
tweet3,tweet103,1.0,Undirected
tweet3,tweet105,1.0,Undirected
tweet3,tweet107,1.0,Undirected
tweet3,tweet110,1.0,Undirected
tweet3,tweet112,1.0,Undirected
tweet3,tweet114,1.0,Undirected
tweet3,tweet116,1.0,Undirected
tweet3,tweet119,1.0,Undirected
tweet3,tweet120,1.0,Undirected
tweet3,tweet122,1.0,Undirected
tweet3,tweet124,1.0,Undirected
tweet3,tweet125,1.0,Undirected
tweet3,tweet126,1.0,Undirected
tweet3,tweet127,1.0,Undirected
tweet3,tweet128,1.0,Undirected
tweet3,tweet129,1.0,Undirected
tweet3,tweet130,1.0,Undirected
tweet3,tweet131,1.0,Undirected
tweet3,tweet132,1.0,Undirected
tweet3,tweet133,1.0,Undirected
tweet3,tweet134,1.0,Undirected
tweet3,tweet135,1.0,Undirected
tweet3,tweet136,1.0,Undirected
tweet3,tweet137,1.0,Undirected
tweet3,tweet138,1.0,Undirected
tweet3,tweet139,1.0,Undirected
tweet3,tweet140,1.0,Undirected
tweet3,tweet141,1.0,Undirected
tweet3,tweet142,1.0,Undirected
tweet3,tweet143,1.0,Undirected
tweet3,tweet144,1.0,Undirected
tweet3,tweet145,1.0,Undirected
tweet3,tweet146,1.0,Undirected
tweet3,tweet147,1.0,Undirected
tweet3,tweet148,1.0,Undirected
tweet3,tweet149,1.0,Undirected
tweet3,tweet150,1.0,Undirected
tweet3,tweet151,1.0,Undirected
tweet3,tweet152,1.0,Undirected
tweet3,tweet153,1.0,Undirected
tweet3,tweet154,1.0,Undirected
tweet3,tweet155,1.0,Undirected
tweet3,tweet156,1.0,Undirected
tweet3,tweet157,1.0,Undirected
tweet3,tweet158,1.0,Undirected
tweet3,tweet159,1.0,Undirected
tweet3,tweet160,1.0,Undirected
